created_at,retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,title,edit_history_tweet_ids,id,author_id,Category,engagement,total_engagement
2025-03-02T04:37:06.000Z,0,1,1,0,0,152,"Between

He's so bouncy for this song, and way too much tongue dude. 

Full: https://t.co/iQKCqgZrzV

#YESUNG #2025_YESUNG_CONCERT_Its_Complicated_in_SINGAPORE https://t.co/c9Yn8TvYOR",1896057151233409350,1896057151233409350,1289369968484610048,Music,154,154
2025-03-04T15:54:34.000Z,1,1,1,0,0,130,"4 Seasons

Love the songs from the SensFlo album so much. They suit him so well.

Full: https://t.co/wwsfdNlYKS

#YESUNG #2025_YESUNG_CONCERT_Its_Complicated_in_SINGAPORE https://t.co/3s3PyGXZmf",1896952416085631343,1896952416085631343,1289369968484610048,Music,133,133
2025-03-04T14:33:27.000Z,0,0,3,0,0,2712,"Should you marry for a home? Singapore’s famous public housing system is not without its own social quirks. 

@DextLow explains https://t.co/z1DoOAs4Md https://t.co/Zru2mfupr8",1896932004236570695,1896932004236570695,35002876,News & Politics,2715,2715
2025-03-04T14:32:57.000Z,1,3,7,0,2,19468,"Should you marry for a home? Singapore’s famous public housing system is not without its own social quirks. 

@DextLow explains https://t.co/DATgN0ro6U https://t.co/16Ihmi485n",1896931877757325479,1896931877757325479,34713362,News & Politics,19481,19481
2025-03-06T23:41:54.000Z,7,0,6,0,0,140,Check out GRAZIA Singapore's video! #TikTok https://t.co/oOJqYql5VW,1897794802277925196,1897794802277925196,1492867904018468864,How-to & Style,153,153
2025-03-04T14:33:05.000Z,0,0,0,0,0,689,"Should you marry for a home? Singapore’s famous public housing system is not without its own social quirks. 

@DextLow explains https://t.co/1aZ9cPUNNf https://t.co/wV8G48CzY8",1896931911206928498,1896931911206928498,588261604,News & Politics,689,689
2025-03-02T18:04:02.000Z,19,0,67,0,5,1163,"250220 Apink Concert [PINK NEW YEAR] In Singapore | 초롱 solo stage | GIVE ME MORE| Fancam #박초롱 #에이핑크

Full
https://t.co/rN3ejmWH2j https://t.co/DktwMP3dbX",1896260224195146057,1896260224195146057,1587418736222314496,Music,1254,1254
2025-03-06T11:47:53.000Z,29,0,37,0,0,592,"Let's do this fams 🔥
GRAZIA Singapore new Post on tiktok 🥰😘

❤️| Like     💬| Comment 🔃 | Share 

🔗 https://t.co/eiIs9o10fc

#srchafreen
#FreenSarocha 
#GRAZIASingapure
#VALENTINOGARAVANI
#ValentinoFW25
#ParisFashionWeek2025 https://t.co/3PKRom35kF",1897615111784919094,1897615111784919094,1843214289626357760,How-to & Style,658,658
2025-03-05T12:41:35.000Z,0,0,1,0,0,61,"Xiao Zhan Studio has opened up their Instagram and Youtube accounts~
Instagram: https://t.co/wue6YZiChi
Youtube: https://t.co/T04wNxOy3P https://t.co/N4nmrDUJ42",1897266238574997716,1897266238574997716,1542514794271371267,Entertainment,62,62
2025-03-07T10:00:03.000Z,0,0,0,0,0,1,"Partners in Harvest Prayer Night will be starting in one hour at 7pm GMT+8. Join us as we pray for the harvest!       

Watch online here: https://t.co/Jri5HkEuOO https://t.co/HogFBF4hTy",1897950361350000715,1897950361350000715,390657053,People & Blogs,1,1
2025-03-06T20:25:06.000Z,1,0,3,0,0,5852,"Should you marry for a home? Singapore’s famous public housing system is not without its own social quirks. 

@DextLow explains https://t.co/Qnq61jz69t https://t.co/zhZyfqoUME",1897745273704632349,1897745273704632349,252751061,News & Politics,5856,5856
2025-03-07T09:11:53.000Z,0,0,0,0,0,3,"Singapore, a bus was on fire
https://t.co/icij0BnLO7",1897938242852602146,1897938242852602146,1868172586200555520,News & Politics,3,3
2025-03-05T10:31:16.000Z,0,1,1,0,0,8,"Must Visit Ramadan Bazaar with 500 stalls of goods and Food.🌯🍫🧋
https://t.co/JBp42UdQKj",1897233443416838277,1897233443416838277,931940264,Travel & Events,10,10
2025-03-07T09:07:56.000Z,0,0,0,0,0,8,"Singapore, a car was on fire.
https://t.co/QCstkN09iF",1897937247812702528,1897937247812702528,1868172586200555520,News & Politics,8,8
2025-03-05T13:54:47.000Z,0,0,0,0,0,11,"Still holding strong at #7 on trending for music, Singapore.

@SB19Official #DAM
https://t.co/GbCcpDY31O https://t.co/OBbPSqApK4",1897284658574090434,1897284658574090434,2367178153,Music,11,11
2025-03-07T01:33:09.000Z,0,0,0,0,0,7,"20241007 TikTok Live 14 (Primary 4) 

Check out singapore_math_hacks's video! #TikTok https://t.co/tvwUcaewTl",1897822798607008051,1897822798607008051,1815963988745936898,Education,7,7
2025-03-05T01:25:23.000Z,14,2,11,1,0,444,"Engage againn~

JISOO ATTENDS DIOR PFW 
#JISOOxDiorAW25

Check out Her World Singapore's video! #TikTok https://t.co/zdzGoFTRNY",1897096069026336883,1897096069026336883,1319480990603997184,How-to & Style,472,472
2025-03-06T13:32:29.000Z,5,0,13,1,0,240,"Singapore Memories 🥳
.
@kumaran_kural  X @vj_vasanth_ 
.
Full Video : https://t.co/MvUeRd04b2

#MuthukumaranArmy #Muthu #Muthukumaran𓃶 #Muthukumaran #biggboss8tamil #BiggBossTamil #BiggBossTamilSeason8",1897641437237526892,1897641437237526892,1351381585157906432,Vlogs,259,259
2025-03-02T06:18:27.000Z,2,1,3,0,0,177,"Like Us (from Sensory Flows album)

Bouncy Yesung continues from the intro itself. I like the band arrangement of this song! 

Full: https://t.co/4s7drVBL8p

#YESUNG #2025_YESUNG_CONCERT_Its_Complicated_in_SINGAPORE https://t.co/OQ1sFjyZzP",1896082657056084002,1896082657056084002,1289369968484610048,Music,183,183
